Date,Capture_Method,Location,County,Counter,Bear_ID,Body_Region,Ixodes_scapularis,Dermacenter_variabilis,Other_Adult,Non-Adults
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,A,1,0,0,0
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,B,1,0,0,0
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,C,0,0,0,0
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,D,0,0,0,0
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,E,0,0,0,0
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,F,1,0,0,0
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,G,0,0,0,0
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,H,0,0,0,1
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,I,0,0,0,0
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,J,0,0,0,2
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,K,0,0,0,0
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,L,0,0,0,0
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,M,0,0,0,0
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,N,0,0,0,0
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,O,0,0,0,0
6/22/2018,Trap,Mifflin Township,Lycoming,Hannah Greenberg,52034,P,0,0,0,0
6/22/2018,Trap,Brookfiled Township,Tioga,Hannah Greenberg,51355,A,0,0,0,0
6/22/2018,Trap,Brookfiled Township,Tioga,Hannah Greenberg,51355,B,0,0,0,0
6/22/2018,Trap,Brookfiled Township,Tioga,Hannah Greenberg,51355,C,0,0,0,0
6/22/2018,Trap,Brookfiled Township,Tioga,Hannah Greenberg,51355,D,0,0,0,0
6/22/2018,Trap,Brookfiled Township,Tioga,Hannah Greenberg,51355,E,0,0,0,0
